,rev_ids,ratings
1341,705653632,Stub
1342,705700815,Stub
1343,705706890,Start
1344,705707214,Stub
1345,705720356,Stub
1346,705723187,Start
1347,705723441,Stub
1348,705726893,Stub
1349,705727586,Start
1350,705736835,Start
1351,705736979,Stub
1352,705737107,Start
1353,705746468,Stub
1354,705765669,Stub
1355,705765780,Stub
1356,705775235,Start
1357,705776541,Stub
1358,705817095,Stub
1359,705842209,Stub
1360,705870505,Stub
1361,705878369,Stub
1362,705882918,Stub
1363,705883069,Stub
1364,705886439,Start
1365,705901879,Start
1366,705904127,Stub
1367,705910185,Stub
1368,705911885,Stub
1369,705915804,C
1370,705920025,Start
1371,705924460,Start
1372,705924765,Stub
1373,705925026,Stub
1374,705927033,Stub
1375,705929702,Stub
1376,705951934,Stub
1377,705953821,Start
1378,705960229,Stub
1379,705961390,Stub
1380,705968296,Start
1381,705980040,Start
1382,705986322,Start
