,article_name,country,revision_id,article_quality,population
873,Jean Baptiste Wilkie,canada,738242188.0,Start,37200000
874,Stanley Hall (politician),canada,738943928.0,Stub,37200000
875,Samuel Genest,canada,739134923.0,Start,37200000
876,David Berger (Canadian politician),canada,740276158.0,Start,37200000
877,David Rotenberg,canada,740276869.0,C,37200000
878,Aubrey Senior,canada,740441527.0,Stub,37200000
879,Neil Fraser (civil servant),canada,740482412.0,Stub,37200000
880,Thomas McKay (Northwest Territories politician),canada,740863576.0,Start,37200000
881,Peter Fraser (Northwest Territories politician),canada,740863717.0,Stub,37200000
882,Ron Ghitter,canada,741266718.0,Start,37200000
883,Esau Schafer,canada,742618365.0,Stub,37200000
884,Michael S. Martin,canada,742989409.0,Stub,37200000
885,Wayne Jim,canada,743342114.0,Stub,37200000
886,William Angus Dickson,canada,743352732.0,Stub,37200000
887,James Laxer,canada,743802406.0,Start,37200000
888,Robert Duncan Wilmot,canada,743934426.0,Start,37200000
889,William Steeves,canada,744260793.0,Start,37200000
890,List of Canadian ministries,canada,744493549.0,Start,37200000
891,John Hamilton Gray (New Brunswick politician),canada,744724453.0,Start,37200000
892,Lawrence Armstrong,canada,744726413.0,Start,37200000
893,Peter Mitchell (politician),canada,744887895.0,Start,37200000
894,George Benjamin (Orangeman),canada,745111909.0,Start,37200000
895,Jean Alfred,canada,745448033.0,Start,37200000
896,Moe Mantha Sr.,canada,745453138.0,Start,37200000
